Nom;IMO;MMSI;Armateur
Wilson Newport;9430985;259013000;Wilson AS (NO)
Wilson Nice;9430959;259020000;Wilson AS (NO)
Wilson Norfolk;9430997;259030000;Wilson AS (NO)
Wilson North;9430947;259034000;Wilson AS (NO)
Wilson Odra;9177882;314584000;Wilson AS (NO)
Wilson Onega;9156199;314472000;Wilson AS (NO)
Wilson Paldiski;9373527;257538000;Wilson AS (NO)
Wilson Palma;9368417;257237000;Wilson AS (NO)
Wilson Parnu;9373541;311001818;Wilson AS (NO)
Wilson Perth;9287766;311001809;Wilson AS (NO)
Wilson Plymouth;9344497;257314000;Wilson AS (NO)
Wilson Pola;9344526;257488000;Wilson AS (NO)
Wilson Police;9373539;257765000;Wilson AS (NO)
Wilson Pori;9201839;257813000;Wilson AS (NO)
Wilson Porto;9291717;311001792;Wilson AS (NO)
Wilson Rhine;9168116;314260000;Wilson AS (NO)
Wilson Rotterdam;9557381;314036000;Wilson AS (NO)
Wilson Ruhr;9145542;311001765;Wilson AS (NO)
Wilson Saar;9125841;311001826;Wilson AS (NO)
Wilson Saga;8918461;311001831;Wilson AS (NO)
Wilson Saimaa;9313694;314607000;Wilson AS (NO)
Wilson Sky;9017393;257077480;Wilson AS (NO)
Wilson Stadt;8918485;311001832;Wilson AS (NO)
Wilson Sund;8918473;311001760;Wilson AS (NO)
Wilson Tees;9150535;249910000;Wilson AS (NO)
Wilson Thames;9177894;314438000;Wilson AS (NO)
Wilson Twisteden;9195468;314606000;Wilson AS (NO)
Wilson Waal;9178446;314262000;Wilson AS (NO)
Wilson Wedau;9987079;314826000;Wilson AS (NO)
Wilson Weser;9198446;314020000;Wilson AS (NO)
Wilson Wisla;9156175;311001811;Wilson AS (NO)
Zeus;9199684;304011025;Wilson AS (NO)
Arklow Arrow;9851971;250006161;Arklow Shipping (IE)
Arklow Cloud;9757149;250006549;Arklow Shipping (IE)
Arklow Viking;9772606;244150648;Arklow Shipping (IE)
Vlieborg;9554781;246625000;Royal Wagenborg (NL)
Merweborg;9142552;244860325;Royal Wagenborg (NL)
Sardius;9996941;244387115;Royal Wagenborg (NL)
Loireborg;9399404;245535000;Royal Wagenborg (NL)
Naven;1049235;231920000;Erik Thun Group (SE)
Kinne;9306689;245057000;Erik Thun Group (SE)
Waaldijk;9514937;245726000;Vertom (NL)
Amadeus Saffier;9996903;245918000;De Bock Maritiem
Celtic Raider;9361330;232031869;Charles M. Willie & Co (UK)
Celtic Navigator;9256169;232020889;Charles M. Willie & Co (UK)
Kikki C;9558036;255806480;Carisbrooke Shipping (UK)
Fuldatal;9962988;255915594;Navi Merchants (COPMER) (DK)
Greta C;1031020;255915758;Carisbrooke Shipping (UK)
Dintelborg;9163685;245279000;Royal Wagenborg (NL)
Laganborg;9407419;244297000;Royal Wagenborg (NL)
Snow Crystal;9818319;231800000;Erik Thun Group (SE)
Tidan;9988528;231907000;Erik Thun Group (SE)
Arklow Fern;9527661;250002173;Arklow Shipping (IE)
Arklow Falcon;9527659;250002033;Arklow Shipping (IE)
Arklow Venus;9772591;244140578;Arklow Shipping (IE)
Vertom Porto;9515010;245947000;Vertom (NL)
Vertom Eva;9507374;255915932;Vertom (NL)
Marietje Andrea;9361134;;Royal Wagenborg (NL)
Roerborg;9592599;;Royal Wagenborg (NL)
Adriaticborg;9546497;;Royal Wagenborg (NL)
Zaanborg;9224154;;Royal Wagenborg (NL)
Reestborg;9592563;;Royal Wagenborg (NL)
Volgaborg;9631072;;Royal Wagenborg (NL)
Waalborg;9505546;244224000;Royal Wagenborg (NL)
Trinityborg;9546485;;Royal Wagenborg (NL)
Alamosborg;9466348;;Royal Wagenborg (NL)
Máxima;9882061;;Royal Wagenborg (NL)
Alexia;9997282;;Royal Wagenborg (NL)
Vancouverborg;9213741;;Royal Wagenborg (NL)
Americaborg;9365659;;Royal Wagenborg (NL)
Albanyborg;9466300;;Royal Wagenborg (NL)
Weserborg;9505558;244340000;Royal Wagenborg (NL)
Cederborg;9356567;;Royal Wagenborg (NL)
Rijnborg;9355812;;Royal Wagenborg (NL)
Lauwersborg;9399387;;Royal Wagenborg (NL)
Ariane;1056630;244464000;Royal Wagenborg (NL)
Marietje Deborah;9481594;244674000;Royal Wagenborg (NL)
Reggeborg;9592575;244810617;Royal Wagenborg (NL)
Missouriborg;9228978;245170000;Royal Wagenborg (NL)
Avonborg;9466362;246865000;Royal Wagenborg (NL)
Elbeborg;9568249;245297000;Royal Wagenborg (NL)
Hunteborg;9328704;244338000;Royal Wagenborg (NL)
Voorneborg;9179373;245491000;Royal Wagenborg (NL)
Eeborg;9568328;246846000;Royal Wagenborg (NL)
Ebroborg;9463451;245952000;Royal Wagenborg (NL)
Victoriaborg;9234276;246029000;Royal Wagenborg (NL)
Diezeborg;9225586;245250000;Royal Wagenborg (NL)
Eemsborg;9423748;245278000;Royal Wagenborg (NL)
Fensfjord;9268887;246188000;Royal Wagenborg (NL)
Erieborg;9463437;246634000;Royal Wagenborg (NL)
Marietje Nora;9481609;;Royal Wagenborg (NL)
Fraserborg;9419319;245639000;Royal Wagenborg (NL)
Andesborg;9466324;246797000;Royal Wagenborg (NL)
Flevoborg;9419292;245226000;Royal Wagenborg (NL)
Lindeborg;9279068;246499000;Royal Wagenborg (NL)
Fivelborg;9419307;245466000;Royal Wagenborg (NL)
Amurborg;9466336;246263000;Royal Wagenborg (NL)
Thamesborg;9546459;246887000;Royal Wagenborg (NL)
Egbert Wagenborg;9802695;244060083;Royal Wagenborg (NL)
Atlanticborg;9466350;245299000;Royal Wagenborg (NL)
Wislaborg;9505560;244106000;Royal Wagenborg (NL)
Nassauborg;9248564;246430000;Royal Wagenborg (NL)
Vaasaborg;9196242;246441000;Royal Wagenborg (NL)
Amstelborg;9333527;244301000;Royal Wagenborg (NL)
Amazoneborg;9333541;246572000;Royal Wagenborg (NL)
Westborg;9196187;246457000;Royal Wagenborg (NL)
Exeborg;9650482;244750716;Royal Wagenborg (NL)
Zijlborg;9229075;244830834;Royal Wagenborg (NL)
Mississippiborg;9207508;244976000;Royal Wagenborg (NL)
Tiberborg;9546473;244750715;Royal Wagenborg (NL)
Fuldaborg;9559092;245806000;Royal Wagenborg (NL)
Lingeborg;9399399;245046000;Royal Wagenborg (NL)
Alaskaborg;9466374;245634000;Royal Wagenborg (NL)
Virginiaborg;9234290;244632000;Royal Wagenborg (NL)
Dongeborg;9163697;245413000;Royal Wagenborg (NL)
Ziltborg;9224142;244030629;Royal Wagenborg (NL)
Azoresborg;9466051;245347000;Royal Wagenborg (NL)
Vechtborg;9160334;;Royal Wagenborg (NL)
Beatrix;9419280;246598000;Royal Wagenborg (NL)
Edenborg;9463449;246716000;Royal Wagenborg (NL)
Nordborg;9393278;;Royal Wagenborg (NL)
Finnborg;9419321;246824000;Royal Wagenborg (NL)
Arneborg;9333539;246556000;Royal Wagenborg (NL)
Marietje Marsilla;9458248;246754000;Royal Wagenborg (NL)
Taagborg;9546461;246912000;Royal Wagenborg (NL)
Amalia;9973327;245230000;Royal Wagenborg (NL)
Arubaborg;9466295;246719000;Royal Wagenborg (NL)
Moezelborg;9180839;245315000;Royal Wagenborg (NL)
Warnowborg;9505572;244109000;Royal Wagenborg (NL)
